feature,importance
numeric__failure_rate,0.1689966672688498
numeric__unreachable_rate,0.09913400582289712
numeric__traffic_delay_minutes,0.05659918239481764
numeric__traffic_delay_ratio,0.05120849124749458
numeric__failed_deliveries,0.04457166507214884
numeric__rainfall,0.04103262605103681
numeric__distance_km,0.038092409678515106
numeric__address_quality,0.03705639518734602
numeric__hub_delay_minutes,0.03480358414763993
numeric__location_success_rate,0.0339000368478565
numeric__estimated_duration,0.03352747984491194
numeric__total_orders,0.03295399380670928
numeric__total_price,0.026792075765510907
numeric__temperature,0.025618384629317564
numeric__unreachable_count,0.025615566820159506
numeric__high_traffic,0.025514870350763334
numeric__prepaid_ratio,0.01845376658056113
numeric__prepaid_amount,0.01655474518980332
numeric__hour_of_day,0.015458029287782142
numeric__heavy_rain,0.01467939964141293
categorical__weather_STORM,0.012801389143643564
categorical__traffic_level_SEVERE,0.01262562743847363
numeric__quantity,0.012000478032917445
categorical__route_status_NORMAL,0.009318493833211627
numeric__day_of_week,0.00929213123648781
numeric__is_severe_weather,0.006233344580244711
numeric__is_office_peak,0.006042137575090461
numeric__is_peak_hour,0.005774149266002551
categorical__weather_RAIN,0.005442672980820903
categorical__weather_CLEAR,0.00477144016517949
categorical__traffic_level_LOW,0.00462995820291942
numeric__is_raining,0.004338366479844039
categorical__route_status_BLOCKED,0.004229738963322184
categorical__route_status_DELAYED,0.0041834882103554735
categorical__traffic_level_HIGH,0.00399820640903329
categorical__traffic_level_MEDIUM,0.0038847639093245586
numeric__hub_delay,0.003666190719356722
numeric__is_long_distance,0.003464217884195254
categorical__weather_CLOUDY,0.003179988201279501
categorical__payment_method_COD,0.0029970315150543805
categorical__payment_method_PREPAID,0.002890286336099955
categorical__vehicle_status_AVAILABLE,0.0026902235141537207
numeric__is_school_peak,0.002240051103030318
categorical__weather_FOG,0.002218451458323999
categorical__time_period_NIGHT,0.002052878241685854
categorical__vehicle_status_MAINTENANCE,0.0019503138563442672
categorical__time_period_MIDDAY,0.001943022310849618
numeric__is_weekend,0.0019401794006094297
categorical__time_period_LATE_NIGHT,0.001932947958596314
categorical__time_period_EVENING,0.0017473755739141098
categorical__day_type_WEEKDAY,0.001717158491997103
categorical__time_period_MORNING,0.00170096090981665
categorical__time_period_AFTERNOON,0.0016883335808670899
categorical__time_period_EARLY_MORNING,0.001591848101537892
categorical__day_type_SATURDAY,0.001456173481363733
numeric__is_long_duration,0.0014233537678795454
categorical__vehicle_status_BREAKDOWN,0.0013636213685637914
categorical__day_type_SUNDAY,0.0012538326709447024
numeric__is_evening_peak,0.0012235524508489594
numeric__is_morning_peak,0.0011475482383134824
numeric__extreme_temperature,0.0003906968019679254
