delivery_time,address_clarity,address_length,contact_valid,payment_method,order_value,area_density,accessibility,weather_condition,traffic_level,delivery_failure
evening,clear,61,0,prepaid,low,high,easy,extreme,low,1
evening,clear,24,1,COD,low,high,easy,normal,high,0
evening,clear,81,1,COD,medium,low,difficult,normal,low,0
afternoon,unclear,70,0,COD,medium,high,easy,rain,low,1
afternoon,unclear,30,0,prepaid,high,high,difficult,normal,high,1
evening,unclear,92,0,COD,low,low,easy,rain,low,0
morning,unclear,96,1,prepaid,high,medium,easy,rain,medium,1
afternoon,clear,84,0,COD,low,medium,difficult,rain,high,1
morning,unclear,84,0,COD,low,medium,difficult,rain,low,1
evening,unclear,97,0,prepaid,medium,low,difficult,normal,medium,1
evening,unclear,33,1,prepaid,medium,high,easy,extreme,medium,1
morning,clear,12,0,COD,high,medium,easy,rain,medium,0
afternoon,unclear,31,0,COD,high,low,difficult,extreme,medium,1
afternoon,clear,62,1,COD,high,low,difficult,extreme,low,1
morning,unclear,11,0,COD,medium,high,easy,extreme,medium,1
morning,unclear,97,1,COD,low,high,easy,normal,high,0
morning,clear,39,0,prepaid,high,high,difficult,extreme,high,1
morning,clear,47,1,prepaid,high,low,difficult,rain,high,0
morning,clear,11,0,prepaid,low,low,easy,extreme,low,1
evening,clear,73,0,COD,low,medium,easy,extreme,low,1
afternoon,clear,69,0,prepaid,low,medium,difficult,normal,low,1
afternoon,unclear,30,1,prepaid,medium,low,easy,extreme,high,0
morning,clear,42,1,prepaid,low,high,easy,normal,high,0
afternoon,clear,85,1,prepaid,low,high,difficult,extreme,low,1
evening,clear,67,0,COD,low,medium,difficult,rain,low,0
morning,clear,31,1,COD,medium,medium,difficult,rain,medium,0
evening,unclear,98,0,COD,medium,high,easy,extreme,high,1
evening,unclear,58,0,COD,high,medium,easy,normal,high,1
morning,clear,68,0,COD,medium,high,easy,extreme,high,1
morning,unclear,51,1,prepaid,low,low,difficult,normal,medium,1
evening,unclear,69,1,prepaid,low,high,difficult,extreme,high,0
morning,clear,89,1,COD,medium,high,easy,rain,medium,0
evening,unclear,24,0,prepaid,high,high,easy,rain,low,0
evening,clear,71,1,prepaid,high,high,difficult,normal,high,0
afternoon,unclear,71,1,COD,low,low,difficult,rain,low,1
morning,unclear,56,0,prepaid,high,low,difficult,extreme,low,1
evening,clear,71,0,prepaid,high,low,easy,rain,low,1
afternoon,clear,60,1,COD,high,high,easy,rain,high,0
afternoon,clear,64,0,COD,low,medium,easy,normal,high,0
afternoon,clear,73,1,COD,high,high,difficult,normal,medium,1
afternoon,unclear,12,1,COD,low,high,easy,rain,medium,1
morning,unclear,60,1,prepaid,high,low,difficult,normal,low,0
afternoon,clear,16,1,COD,low,low,difficult,rain,high,0
afternoon,clear,30,1,COD,medium,high,difficult,normal,high,0
evening,clear,82,1,prepaid,low,low,difficult,extreme,medium,0
morning,unclear,48,1,prepaid,medium,medium,difficult,extreme,low,1
evening,unclear,27,0,prepaid,medium,low,easy,rain,medium,1
evening,unclear,13,1,prepaid,medium,low,easy,extreme,medium,0
evening,clear,98,0,prepaid,high,low,difficult,normal,low,1
morning,clear,69,0,COD,low,high,difficult,extreme,low,1
evening,clear,23,1,prepaid,medium,high,easy,extreme,high,1
morning,unclear,18,0,COD,high,low,difficult,normal,high,1
morning,unclear,99,0,prepaid,high,low,difficult,rain,high,1
evening,unclear,62,1,COD,high,medium,difficult,rain,low,0
afternoon,unclear,11,0,prepaid,medium,high,difficult,normal,medium,1
evening,clear,93,0,COD,low,medium,easy,extreme,low,1
afternoon,unclear,69,1,prepaid,low,high,difficult,rain,high,0
morning,unclear,80,1,COD,medium,medium,difficult,rain,high,0
evening,clear,53,1,COD,medium,medium,difficult,normal,medium,1
evening,unclear,17,0,prepaid,low,low,easy,rain,high,1
morning,clear,56,1,COD,medium,high,easy,rain,medium,0
afternoon,unclear,44,1,prepaid,medium,medium,difficult,normal,medium,1
evening,clear,87,1,COD,high,high,easy,normal,low,1
morning,clear,90,0,COD,medium,low,easy,extreme,low,1
afternoon,unclear,45,0,COD,low,medium,easy,extreme,low,0
evening,unclear,59,1,COD,low,low,easy,normal,high,0
evening,clear,13,0,prepaid,high,medium,difficult,normal,high,1
morning,unclear,11,1,COD,medium,medium,difficult,extreme,low,1
evening,unclear,15,1,prepaid,medium,low,difficult,rain,low,0
morning,unclear,63,1,COD,medium,low,difficult,rain,low,1
afternoon,clear,13,1,COD,medium,medium,difficult,rain,high,0
afternoon,clear,63,0,COD,low,low,difficult,rain,high,0
evening,unclear,72,1,prepaid,low,high,difficult,normal,medium,0
afternoon,unclear,27,1,prepaid,medium,low,difficult,rain,high,1
afternoon,unclear,99,0,COD,high,high,difficult,normal,high,1
evening,clear,53,0,COD,high,medium,difficult,extreme,high,1
evening,unclear,43,0,COD,medium,high,difficult,normal,medium,1
evening,clear,83,1,COD,low,low,difficult,extreme,low,1
afternoon,clear,71,0,prepaid,medium,medium,difficult,rain,low,0
afternoon,unclear,23,0,COD,medium,medium,easy,extreme,high,1
morning,clear,57,1,COD,low,high,difficult,extreme,high,0
morning,unclear,24,1,prepaid,medium,low,difficult,rain,high,0
evening,clear,81,0,COD,medium,low,easy,normal,low,1
morning,clear,87,0,prepaid,medium,low,difficult,rain,low,1
evening,unclear,96,1,COD,high,high,difficult,extreme,high,1
morning,unclear,71,0,COD,high,high,difficult,normal,low,1
afternoon,unclear,49,1,COD,medium,low,difficult,extreme,medium,0
evening,unclear,94,1,COD,high,high,difficult,extreme,medium,1
morning,clear,89,0,COD,high,medium,easy,normal,medium,0
afternoon,unclear,91,0,prepaid,high,medium,easy,rain,medium,1
afternoon,clear,62,0,prepaid,medium,low,difficult,rain,high,0
evening,clear,33,1,COD,medium,medium,difficult,normal,medium,0
morning,unclear,35,1,COD,low,low,difficult,extreme,medium,1
morning,clear,98,1,COD,medium,medium,difficult,normal,low,0
evening,clear,69,0,prepaid,high,high,difficult,normal,low,0
morning,unclear,50,0,COD,medium,low,difficult,extreme,high,1
afternoon,unclear,38,0,prepaid,high,high,difficult,normal,high,1
morning,clear,24,1,prepaid,medium,low,difficult,normal,medium,0
evening,unclear,54,0,prepaid,high,medium,difficult,rain,high,1
afternoon,unclear,74,1,COD,high,high,difficult,normal,medium,1
evening,unclear,98,1,prepaid,high,low,easy,rain,low,1
evening,unclear,80,0,prepaid,low,low,difficult,normal,high,1
evening,clear,18,0,prepaid,medium,medium,difficult,extreme,low,1
evening,unclear,97,1,prepaid,high,high,easy,normal,high,0
afternoon,clear,10,0,prepaid,low,low,easy,rain,low,0
morning,clear,17,1,COD,medium,medium,difficult,rain,low,1
afternoon,clear,97,0,COD,low,low,difficult,extreme,high,1
evening,clear,72,0,prepaid,high,medium,difficult,rain,high,1
afternoon,unclear,20,0,COD,medium,medium,difficult,extreme,medium,1
afternoon,unclear,90,0,prepaid,medium,high,easy,rain,high,1
afternoon,unclear,17,0,prepaid,medium,high,easy,extreme,high,1
afternoon,clear,44,1,COD,high,high,difficult,extreme,high,1
evening,clear,44,0,COD,medium,medium,easy,extreme,medium,1
morning,unclear,42,1,prepaid,low,high,easy,extreme,medium,0
afternoon,clear,14,1,prepaid,medium,low,difficult,normal,medium,0
morning,clear,50,1,prepaid,low,medium,easy,rain,high,0
afternoon,unclear,37,1,prepaid,low,low,easy,rain,low,0
evening,unclear,16,0,COD,high,medium,difficult,extreme,medium,1
morning,clear,82,1,prepaid,low,high,easy,extreme,low,0
afternoon,unclear,81,0,prepaid,high,high,difficult,extreme,medium,1
afternoon,clear,21,1,COD,medium,medium,easy,rain,low,0
afternoon,unclear,43,0,prepaid,medium,high,easy,rain,low,0
evening,clear,42,0,prepaid,low,high,easy,normal,high,1
morning,clear,57,1,COD,high,high,difficult,normal,low,0
morning,clear,32,0,COD,low,medium,easy,extreme,medium,1
afternoon,clear,71,0,prepaid,high,high,easy,rain,medium,0
evening,clear,97,1,COD,high,high,difficult,rain,high,0
morning,unclear,46,1,prepaid,high,high,difficult,extreme,medium,1
morning,unclear,53,0,COD,low,medium,difficult,rain,high,1
afternoon,unclear,95,0,COD,high,low,easy,rain,medium,0
afternoon,unclear,44,1,prepaid,medium,low,easy,rain,medium,0
afternoon,unclear,74,0,prepaid,low,high,easy,normal,medium,1
evening,unclear,56,0,COD,high,low,difficult,extreme,low,1
evening,unclear,87,0,prepaid,high,medium,difficult,normal,high,1
morning,unclear,12,0,COD,medium,low,difficult,normal,medium,1
afternoon,clear,10,1,COD,low,medium,difficult,rain,medium,1
morning,unclear,14,0,COD,high,low,easy,normal,high,1
afternoon,unclear,99,1,prepaid,low,medium,difficult,extreme,medium,0
evening,clear,23,0,COD,low,low,easy,extreme,low,1
evening,unclear,36,1,prepaid,medium,medium,easy,extreme,low,1
morning,unclear,18,1,prepaid,low,high,difficult,extreme,low,1
afternoon,clear,88,0,prepaid,medium,medium,easy,normal,medium,0
morning,clear,24,1,COD,high,low,difficult,normal,medium,0
morning,unclear,99,0,prepaid,low,medium,difficult,extreme,medium,1
afternoon,unclear,51,0,prepaid,low,medium,easy,extreme,medium,0
afternoon,clear,86,1,COD,low,medium,difficult,extreme,low,1
afternoon,unclear,60,0,prepaid,low,high,easy,extreme,high,1
afternoon,unclear,72,0,COD,low,high,difficult,normal,low,1
evening,clear,61,0,prepaid,medium,low,difficult,extreme,high,1
evening,unclear,13,1,COD,medium,high,difficult,rain,high,1
afternoon,clear,32,1,COD,medium,medium,difficult,normal,low,0
afternoon,clear,24,0,prepaid,medium,low,easy,rain,high,0
afternoon,unclear,52,0,COD,medium,high,difficult,extreme,low,1
morning,clear,38,0,prepaid,medium,low,easy,rain,medium,0
afternoon,unclear,45,1,COD,high,low,difficult,normal,medium,1
evening,unclear,22,1,prepaid,high,low,easy,rain,low,0
morning,unclear,41,1,prepaid,low,low,easy,rain,high,0
afternoon,clear,80,0,prepaid,high,medium,easy,rain,medium,1
morning,unclear,68,1,COD,low,high,easy,normal,medium,0
morning,clear,95,1,COD,high,medium,easy,normal,low,0
evening,clear,37,1,COD,medium,medium,easy,rain,high,1
evening,unclear,75,0,COD,medium,medium,easy,rain,high,0
afternoon,unclear,51,1,prepaid,high,low,difficult,normal,low,0
morning,unclear,54,0,prepaid,medium,low,easy,extreme,high,1
afternoon,clear,71,0,prepaid,medium,low,easy,rain,low,0
morning,unclear,66,1,COD,medium,high,difficult,extreme,medium,1
morning,unclear,15,0,COD,medium,high,difficult,normal,low,1
afternoon,clear,37,1,prepaid,high,high,easy,normal,medium,0
morning,unclear,37,0,prepaid,low,medium,easy,normal,low,1
evening,unclear,53,0,COD,medium,low,easy,extreme,high,1
evening,clear,93,1,prepaid,low,low,difficult,normal,high,0
evening,clear,39,1,COD,high,low,easy,rain,medium,1
afternoon,unclear,71,1,COD,medium,high,difficult,normal,high,0
morning,unclear,84,0,COD,medium,low,difficult,extreme,low,1
evening,unclear,98,1,COD,low,high,difficult,normal,medium,1
morning,clear,71,1,prepaid,high,medium,difficult,rain,low,0
morning,unclear,10,1,COD,high,medium,difficult,normal,medium,1
afternoon,unclear,36,1,prepaid,low,medium,difficult,rain,high,1
morning,unclear,71,0,prepaid,high,high,difficult,rain,low,1
evening,unclear,86,1,prepaid,high,low,difficult,normal,high,1
afternoon,clear,12,1,prepaid,medium,low,easy,normal,high,0
afternoon,clear,79,0,COD,high,low,difficult,normal,low,1
evening,unclear,81,1,prepaid,high,high,easy,extreme,medium,0
afternoon,unclear,36,0,COD,high,medium,difficult,rain,high,1
morning,clear,18,0,prepaid,high,medium,easy,rain,medium,0
morning,unclear,71,1,COD,low,high,easy,rain,low,0
afternoon,clear,46,1,prepaid,high,high,difficult,rain,low,0
evening,clear,60,1,COD,low,high,easy,normal,medium,1
evening,unclear,53,1,COD,high,high,easy,rain,medium,0
evening,unclear,33,1,prepaid,high,high,easy,rain,high,1
afternoon,unclear,88,0,COD,low,medium,easy,normal,high,1
morning,clear,68,1,COD,medium,low,difficult,normal,medium,1
evening,unclear,41,0,prepaid,high,low,easy,extreme,high,1
evening,clear,97,0,prepaid,high,high,easy,normal,low,0
evening,unclear,61,0,prepaid,high,low,easy,rain,high,1
evening,unclear,71,1,COD,high,medium,difficult,rain,low,1
morning,unclear,67,1,prepaid,medium,high,difficult,extreme,low,1
evening,unclear,61,1,prepaid,low,medium,easy,rain,low,0
afternoon,unclear,21,0,COD,low,high,difficult,rain,high,1
morning,unclear,48,1,COD,low,medium,difficult,rain,medium,1
morning,unclear,11,1,COD,low,low,difficult,normal,low,1
evening,unclear,12,1,COD,low,medium,easy,rain,high,1
afternoon,unclear,65,0,prepaid,low,low,easy,rain,high,1
afternoon,unclear,90,1,COD,low,high,difficult,rain,medium,0
afternoon,clear,68,0,prepaid,high,high,easy,normal,low,0
afternoon,unclear,11,0,COD,medium,low,difficult,normal,medium,0
evening,unclear,11,1,prepaid,high,low,difficult,rain,low,1
evening,clear,63,1,prepaid,high,low,easy,extreme,medium,1
evening,clear,96,0,prepaid,low,low,difficult,normal,high,1
